multiplier_name,mean_error,variance_error,std_error,n_samples,simulation_type
mul8s_1KV6,0.0,0.0,0.0,65536,exhaustive
mul8s_1KV8,-1.25,2.1875,1.479019945774904,65536,exhaustive
mul8s_1KV9,-4.25,16.1875,4.02336923485777,65536,exhaustive
mul8s_1KVA,-12.25,98.1875,9.908960591303208,65536,exhaustive
mul8s_1KVM,0.25,2730.6875,52.25598051897983,65536,exhaustive
mul8s_1KVP,-2.25,2741.1875,52.356351095163234,65536,exhaustive
mul8s_1KVQ,-8.25,2804.1875,52.954579594214515,65536,exhaustive
mul8s_1KX5,-16.25,19426.1875,139.3778587150771,65536,exhaustive
mul8s_1KXF,1.75,95573.1875,309.149134723033,65536,exhaustive
mul8s_1L12,15.75,7282662.1875,2698.6408037195315,65536,exhaustive
mul8s_1L2J,0.75,5461.1875,73.89984776709625,65536,exhaustive
mul8s_1L2L,3.75,38222.1875,195.50495518016928,65536,exhaustive
mul8s_1L2N,15.75,190990.1875,437.02424131848795,65536,exhaustive
