multiplier_name,category,pareto_dirs,bit_width,signed,mean_error,variance_error,std_error,n_samples,simulation_type
mul11u_003,11x11_unsigned,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,11,False,0.0,0.0,0.0,100000,"MC n=100,000"
mul11u_00H,11x11_unsigned,pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,11,False,111.95081,1022351.525830344,1011.1140023906028,100000,"MC n=100,000"
mul11u_00K,11x11_unsigned,pareto_pwr_mre,11,False,205.83848,872439.5392512897,934.0447201559942,100000,"MC n=100,000"
mul11u_01Z,11x11_unsigned,pareto_pwr_wce,11,False,372.11571,876841.673801196,936.3982453001479,100000,"MC n=100,000"
mul11u_024,11x11_unsigned,pareto_pwr_ep,11,False,3230.57254,18523101.12109795,4303.847246487489,100000,"MC n=100,000"
mul11u_03N,11x11_unsigned,pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,11,False,467.87731,2990729.3109371644,1729.3725194234944,100000,"MC n=100,000"
mul11u_041,11x11_unsigned,pareto_pwr_mre,11,False,-1161.81797,26960776.60209508,5192.376777747843,100000,"MC n=100,000"
mul11u_05D,11x11_unsigned,pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,11,False,513.5223,22319553.865842704,4724.357508258949,100000,"MC n=100,000"
mul11u_067,11x11_unsigned,pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,11,False,-1300.21852,87305599.89046901,9343.746566044534,100000,"MC n=100,000"
mul11u_097,11x11_unsigned,pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,11,False,-2064.64032,399232723.1823103,19980.80887207298,100000,"MC n=100,000"
mul11u_09Z,11x11_unsigned,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,11,False,-13300.61868,3557249618.718155,59642.682859829125,100000,"MC n=100,000"
mul12s_2PP,12x12_signed,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,12,True,0.0,0.0,0.0,100000,"MC n=100,000"
